,club,codeid,div,draws,english,gagainst,gscores,loss,netscore,plays,points,rank,team,wins,year
56,济南泰山将军,JNTSG,超,7,Jinan Taishan General,33,38,9,5,29,460,4,济南泰山将军,13,1996
57,四川全兴,SCQX,超,9,Sichuan Quanxin,31,30,7,-1,26,412.5,5,四川全兴,10,1996
58,中国人民解放军八一,PLABY,超,12,PLA Bayi,28,36,5,8,26,395,6,八一,9,1996
59,广东宏远,GDHY,超,11,Guangdong Hongyuan,34,31,9,-3,28,355,7,广东宏远,8,1996
60,天津FC,TJFC,超,9,Tianjin FC,34,30,9,-4,26,327.5,8,天津三星,8,1996
61,广州太阳神,GZAPL,超,10,Guangzhou Apollo,33,31,9,-2,26,323.75,9,广州太阳神,7,1996
62,青岛海牛,QDHN,甲,2,Qingdao Hainiu,32,43,7,11,26,302.5,10,青岛海牛,17,1996
63,中国前卫寰岛,CQQH,甲,8,China Qianwei Huandao,20,47,3,27,26,297.5,11,前卫寰岛,15,1996
64,上海豫园,SHYY,甲,9,Shanghai Yuyuan,22,34,6,12,26,242.5,12,上海豫园,11,1996
65,延边FC,YBFC,超,8,Yanbian FC,34,24,11,-10,24,230,13,延边现代,5,1996
66,佛山FC,FSFST,甲,7,Foshan Fosti,19,37,5,18,24,225,14,佛山佛斯弟,12,1996
67,辽宁FC,LNFC,甲,7,Liaoning FC,29,38,7,9,24,202.5,15,辽宁航星,10,1996
68,上海浦东新区FA,SHPD,甲,7,Shanghai Pudong FA,42,27,13,-15,28,197.5,16,上海浦东新区FA,8,1996
69,松日电器广州,GZMSC,超,9,Guangzhou Matsunichi,32,14,14,-18,26,195,17,广州松日,3,1996
70,湖北美尔雅,HBMLY,甲,8,Hubei Mailyard,35,28,10,-7,26,186.25,18,湖北美尔雅,8,1996
71,深圳FC,SZFC1,超,9,Shenzhen FC,32,15,12,-17,24,182.5,19,深圳飞亚达,3,1996
72,沈阳华晨金客,SYBJK,甲,8,Shenyang Brilliance Jinke,29,26,10,-3,24,137.5,20,沈阳海狮,6,1996
73,河南建业,HAJY,甲,7,Henan Construction,37,23,11,-14,24,135,21,河南建业,6,1996
74,火车头FC,HCTFC,甲,7,Locomotive FC,25,15,12,-10,24,117.5,22,火车头,5,1996
75,大连顺发,DLSF,甲,7,Dalian Shunfa,42,21,12,-21,24,117.5,23,大连顺发,5,1996
76,成都FC,CDFC,乙,5,Chengdu FC,10,35,1,25,15,96.25,24,成都五牛,9,1996
77,深圳金鹏,SZKP,乙,4,Shenzhen Kinspar,8,21,1,13,11,75,25,深圳金鹏,6,1996
78,江苏金陵石化加佳,JSJGG,甲,8,Jiangsu Jlspc Gige,37,11,15,-26,24,65,26,江苏加佳,1,1996
79,云南天元,YNTY,乙,7,Yunnan Tianyuan,15,32,2,17,13,61.25,27,云南天元,4,1996
80,天津万科,TJVK,乙,4,Tianjin Vanke,1,6,0,5,8,57.5,28,天津万科,4,1996
81,上海不夜城福豹,SHBF,乙,3,Shanghai Buyecheng Fubao,3,13,1,10,8,52.5,29,上海不夜城福豹,4,1996
82,延边前卫,YBQW,乙,1,Yanbian Qianwei,9,14,2,5,8,45,30,延吉公安局,5,1996
83,重庆渝海,CQYH,乙,3,Chongqing Yuhai,7,16,1,9,8,42.5,31,重庆渝海,4,1996
84,大连毅腾连铁,DLYT,乙,3,Dalian Yiteng,7,6,1,-1,8,42.5,32,大连铁路毅腾,4,1996
85,新疆油田希望,XJOP,乙,1,Xinjiang Oilfield Hope,17,9,3,-8,8,37.5,33,新疆油田希望,4,1996
86,上海宝钢,SHBS,乙,3,Shanghai Baosteel,3,5,1,2,6,36.25,34,上海宝钢,2,1996
87,厦门FC,XMFC,乙,4,Xiamen FC,9,8,2,-1,7,31.25,35,厦门,1,1996
88,云南建工,YNCEG,乙,1,Yunnan Construction Engineering,19,10,4,-9,8,30,36,云南建工,3,1996
89,南京多得,NJDD,乙,1,Nanjing Duode,1,4,0,3,4,27.5,37,南京多得,3,1996
90,北京首钢,BJSG,乙,1,Beijing Shougang,6,7,2,1,5,25,38,北京首钢,2,1996
91,延边大学,YBU.,乙,0,Yanbian University,5,1,2,-4,5,25,39,延边大学,3,1996
92,陕西国力,SNNP,乙,2,Shannxi National Power,1,14,1,13,5,22.5,40,陕西国力,2,1996
93,大连造船厂,DLSY,乙,0,Dalian Shipyard,2,5,3,3,5,17.5,41,大连造船厂,2,1996
94,西安金花前卫,XAGA,乙,2,Xi'an Jinhua Qianwei,11,9,2,-2,5,15,42,西安金花前卫,1,1996
95,广西银荔,GXYL,乙,1,Guangxi yinli,7,3,3,-4,4,12.5,43,广西银荔,0,1996
96,伊宁,YNT.,乙,1,Yining Team,12,10,3,-2,5,12.5,44,伊宁,1,1996
97,济南富禄,JNFL,乙,0,Jinan Fulu,5,6,2,1,3,10,45,济南富禄,1,1996
98,湖南莱孚,HNLF,乙,0,Hunan Laifu,4,0,3,-4,3,10,46,湖南莱孚,0,1996
99,大连海事大学,DLMU.,乙,0,Dalian Maritime University,9,1,4,-8,5,10,47,大连海事大学,1,1996
100,重庆（重烟）红岩,CQHY,乙,3,Chongqing Hongyan,16,6,2,-10,5,10,48,重庆烟厂,0,1996
101,上海中纺机,SHCTM,乙,0,Shanghai China Textile Machinery,1,0,1,-1,1,5,49,上海中纺机,0,1996
102,青岛正义,QDZY,乙,0,Qingdao Zhengyi,1,0,1,-1,1,5,50,青岛JVC正义,0,1996
103,梧州翔发牛仔,WZXFC,乙,0,Wuzhou Xiangfa Cowboy,4,0,1,-4,1,5,51,广西梧州翔发牛仔,0,1996
104,合肥扬子电器,HFYTE,乙,0,Hefei Yangtze Electric,5,0,1,-5,1,5,52,合肥扬子电器,0,1996
105,西安铁路,XARW,乙,1,Xi'an Railway,18,4,4,-14,5,5,53,西安铁路,0,1996
106,天津缘诚,TJYC,乙,0,Tianjin Yuancheng,0,0,0,0,0,2.5,54,天津军电缘诚,0,1996
107,广州永平,GZYP,乙,0,Guangzhou Yongping,0,0,0,0,0,2.5,55,广州永平,0,1996
108,北京电车,BJDC,乙,0,Beijing Dianche,0,0,0,0,0,2.5,56,北京电车,0,1996
109,北京运四,BJY4,乙,0,Beijing Yun4,0,0,0,0,0,2.5,57,北京运四,0,1996
110,桂林同德,GLTD,乙,0,Guilin Tongde,6,1,1,-5,1,2.5,58,广西桂林同德,0,1996
111,安徽乐普生,AHLPS,乙,0,Anhui Lopson,5,1,2,-4,2,2.5,59,安徽乐普生,0,1996
112,沈阳乡村,SYCT,乙,0,Shenyang Country,4,1,5,-3,5,2.5,60,沈阳乡村,0,1996
113,西宁铁路,XNRW,乙,0,Xining Railway,38,1,5,-37,5,2.5,61,西宁铁路,0,1996
114,广州酒家,GZRT,乙,0,Guangzhou Restaurant,0,0,0,0,0,0,62,广州酒家,0,1996
115,广东宏远,GDHY2,2nd,0,"Guangdong
  Hongyuan",0,0,0,0,0,0,63,广东宏远二队,0,1996
116,湖北美尔雅职业,HBMLY2,2nd,0,Hubei Mailyard,0,0,0,0,0,2.5,64,湖北美尔雅二队,0,1996
117,四川全兴,SCQX2,2nd,1,Sichuan Quanxin,8,27,2,19,8,45,65,四川全兴二队/彭州,5,1996
118,俱乐部简称,编码,级别,平,英文名称,失球,进球,负,净胜,场次,合计,排名,队名简称,胜,1997
119,Club Name,C.ID,Div.,D,English Name,-,+,L,+/-,pl.,Pts.,Rank,Team Name,W,1997
120,北京国安,BJGA,亚,12,Beijing Guoan,27,70,5,43,36,737.5,1,北京国安,19,1997
121,大连万达,DLWD,亚,7,Dalian Wanda,24,61,3,37,29,712.5,2,大连万达,19,1997
122,上海申花,SHSH,超,10,Shanghai Shenhua,30,45,6,15,29,505,3,上海申花,13,1997
123,重庆前卫寰岛,CQQH,超,7,Chongqing Qianwei Huandao,37,47,10,10,30,447.5,4,重庆隆鑫,13,1997
124,中国人民解放军八一,PLABY,超,11,PLA Bayi,43,27,10,-16,30,377.5,5,八一,9,1997
125,四川全兴,SCQX,超,9,Sichuan Quanxin,31,33,9,2,26,337.5,6,四川全兴郎酒,8,1997
126,济南泰山将军,JNTSG,超,11,Jinan Taishan General,27,24,8,-3,26,332.5,7,济南泰山将军,7,1997
127,青岛颐中海牛,QDET,超,8,Qingdao Etsong Hainiu,33,23,10,-10,26,317.5,8,青岛颐中海牛,8,1997
