,club,codeid,div,draws,english,gagainst,gscores,loss,netscore,plays,points,rank,team,wins,year
238,广东宏远,GDHY,甲,6,Guangdong Hongyuan,36,40,8,4,26,267.95,17,广东宏远,12,1999
239,成都FC,CDFC,甲,9,Chengdu FC,33,36,6,3,24,221.82,18,成都五牛,9,1999
240,上海浦东,SHPD,甲,6,Shanghai Pudong,33,32,8,-1,24,220.23,19,上海浦东惠尔浦,10,1999
241,湖北武汉红桃K职业,WHRHK,超,9,Wuhan RHK,61,23,17,-38,30,215,20,武汉红桃Ｋ,4,1999
242,广州太阳神,GZAPL,甲,10,Guangzhou Apollo,35,31,9,-4,26,206.14,21,广州太阳神,7,1999
243,重庆（重烟）红岩,CQHY,甲,8,Chongqing Hongyan,49,34,12,-15,26,175,22,重庆红岩,6,1999
244,北京宽利,BJKL,甲,6,Beijing Kuanli,33,27,11,-6,24,168.64,23,北京朝阳全库,7,1999
245,陕西国力,SNNP,甲,7,Shannxi National Power,30,29,11,-1,24,156.82,24,西北航空国力,6,1999
246,江苏金陵石化加佳,JSJGG,甲,7,Jiangsu Jlspc Gige,32,24,11,-8,24,156.82,25,江苏天润,6,1999
247,河南建业,HAJY,乙,3,Henan Construction,14,28,5,14,18,117.5,26,河南建业,10,1999
248,惠州超能,HZCN,乙,2,Huizhou Chaoneng,14,29,6,15,17,102.64,27,解放军超能,9,1999
249,青岛海利丰,QDHLF,乙,3,Qingdao Hailifeng,16,18,5,2,16,96.25,28,青岛海利丰,8,1999
250,绵阳FC,MYFC,乙,2,Mianyang FC,15,14,6,-1,15,81.389,29,绵阳丰谷,7,1999
251,长春亚泰,CCYT,乙,3,Changchun Yatai,7,20,3,13,12,76.25,30,长春亚泰,6,1999
252,湖北多人多,HBDRD,乙,4,Hubei Duorenduo,12,15,5,3,14,75.313,31,湖北多人多,5,1999
253,河北一山,HEYS,乙,4,Hebei Yishan,15,13,4,-2,14,75.278,32,河北一山,6,1999
254,辽宁青年,LNY.,乙,5,Liaoning Youth,13,16,3,3,13,72.188,33,辽宁三元建材,5,1999
255,武汉雅琪,WHYQ,乙,2,Wuhan Yaqi,16,20,5,4,13,68.889,34,武汉雅琪,6,1999
256,威海三角,WHTR,乙,1,Weihai Triangle,15,15,4,0,10,57.778,35,威海三角,5,1999
257,大连毅腾连铁,DLYT,乙,5,Dalian Yiteng,8,11,2,3,10,56.875,36,大连铁路毅腾,3,1999
258,北京体育大学,BJSU.,乙,4,Beijing Sport University,8,8,3,0,10,46.944,37,北体大华邦,3,1999
259,青海三普,QHSP,乙,3,Qinghai S&P,16,9,4,-7,10,43.333,38,青海三普,3,1999
260,浙江绿城,ZJGT,乙,2,Zhejiang Greentown,15,12,5,-3,10,39.722,39,浙江绿城,3,1999
261,广州白云山,GZBYS,甲,2,Guangzhou Baiyunshan,66,21,21,-45,24,37.045,40,广州白云山,1,1999
262,江苏法尔胜,JSFS,乙,2,Jiangsu Fasten,14,7,7,-7,10,18.056,41,江苏法尔胜,1,1999
263,西安安馨园,XAAXY,乙,4,Xi'an Anxinyuan,19,5,6,-14,10,14.444,42,西安安馨园,0,1999
264,青岛十方,QDSF,乙,1,Qingdao Shifang,24,1,7,-23,8,4.0625,43,青岛十方,0,1999
265,俱乐部简称,编码,级别,平,英文名称,失球,进球,负,净胜,场次,合计,排名,队名简称,胜,2000
266,Club Name,C.ID,Div.,D,English Name,-,+,L,+/-,pl.,Pts.,Rank,Team Name,W,2000
267,大连实德,DLSD,亚,6,Dalian Shide,26,66,6,40,32,700,1,大连实德,20,2000
268,山东鲁能泰山,SDLT,亚,5,Shandong Luneng Taishan,42,52,13,10,34,600,2,山东鲁能泰山,16,2000
269,重庆前卫寰岛红岩,CQQH,超,11,Qianwei Qianwei Huandao,46,65,8,19,34,572.5,3,重庆力帆,15,2000
270,上海申花,SHSHT,亚,8,Shanghai Shenhua,25,37,5,12,27,515,4,上海申花托普,14,2000
271,北京国安,BJGA,超,9,Beijing Guoan,42,50,12,8,34,492.5,5,北京国安,13,2000
272,四川全兴,SCQX,超,8,Sichuan Quanxin,23,34,7,11,27,455,6,四川全兴水井坊,12,2000
273,辽宁FC,LNFC,超,8,Liaoning FC,32,42,11,10,31,435,7,辽宁抚顺特钢,12,2000
274,沈阳华晨金客,SYBJK,超,11,Shenyang Brilliance Jinke,41,43,9,2,30,415,8,沈阳海狮,10,2000
275,深圳FC,SZPA,超,8,Shenzhen FC,31,29,11,-2,28,357.5,9,深圳平安科健,9,2000
276,天津泰达,TJTED,超,10,Tianjin TEDA,41,33,10,-8,28,347.5,10,天津泰达顶新,8,2000
277,厦门FC,XMFC,超,5,Xiamen FC,50,28,16,-22,30,320,11,厦门厦新,9,2000
278,湖北武汉职业,WHRHK,甲,7,Wuhan RHK,35,48,9,13,28,303.18,12,武汉红桃K,12,2000
279,长春亚泰雄狮,CCYT,甲,10,Changchun Yatai,27,32,6,5,26,303.08,13,长春亚泰雄狮,10,2000
280,青岛颐中海牛,QDET,超,11,Qingdao Etsong Hainiu,34,26,10,-8,27,297.5,14,青岛颐中海牛,6,2000
281,云南红塔,YNHT,超,5,Yunnan Hongta,43,24,14,-19,27,297.5,15,云南红塔,8,2000
282,八一振邦,PLABY,甲,9,Bayi Zhenbang,22,41,5,19,24,250.23,16,八一振邦,10,2000
283,上海浦东,SHPD,甲,12,Shanghai Pudong,24,30,4,6,24,232.5,17,上海联洋8848,8,2000
284,江苏舜天,JSST,甲,6,Jiangsu Sainty,29,31,7,2,23,220.23,18,江苏舜天,10,2000
285,陕西国力,SNNP,甲,6,Shannxi National Power,32,30,7,-2,23,220.23,19,陕西博华国力,10,2000
286,延边FC,YBFC,超,5,Yanbian FC,52,21,18,-31,27,192.22,20,吉林敖东,4,2000
287,河南建业,HAJY,甲,11,Henan Construction,35,28,7,-7,24,182.05,21,河南建业,6,2000
288,广东宏远,GDHY,甲,4,Guangdong Hongyuan,32,27,11,-5,23,172.95,22,广东宏远金嗓子,8,2000
289,成都FC,CDFC,甲,6,Chengdu FC,39,26,10,-13,23,167.05,23,成都五牛国腾,7,2000
290,广州太阳神,GZAPL,甲,7,Guangzhou Apollo,29,27,10,-2,23,155.23,24,广州太阳神,6,2000
291,北京宽利,BJKL,甲,8,Beijing Kuanli,27,24,10,-3,23,143.41,25,北京波导,5,2000
292,绵阳FC,MYFC,乙,5,Mianyang FC,23,49,2,26,21,138.15,26,四川绵阳丰谷酒业,14,2000
293,天津立飞,TJLF,乙,3,Tianjin Lifei,14,43,5,29,21,125.66,27,天津立飞银塔,13,2000
294,上海有线02,SHC02,乙,3,Shanghai Cable 02,23,45,3,22,18,121.1,28,上海有线02,12,2000
295,松日电器广州,GZMSC,甲,10,Guangzhou Matsunichi,36,15,11,-21,23,102.05,29,广州松日,2,2000
296,浙江绿城,ZJGT,乙,5,Zhejiang Greentown,19,30,5,11,18,86.055,30,浙江绿城,8,2000
297,广州白云山,GZBYS,乙,5,Guangzhou Baiyunshan,24,31,7,7,19,82.45,31,广州白云山,7,2000
298,辽宁青年,LNY.,乙,5,Liaoning Youth,15,20,2,5,12,64.311,32,辽宁三元建材,5,2000
299,青岛海利丰,QDHLF,乙,4,Qingdao Hailifeng,21,19,6,-2,16,64.291,33,青岛海利丰,6,2000
300,长春参一,CCSY,乙,4,Changchun Shengyi,14,16,3,2,12,59.789,34,长春参一,5,2000
301,西安安馨园战士,XAAXY,乙,5,Xi'an Anxinyuan,20,29,6,9,16,56.964,35,西安安馨园战士,5,2000
302,河北一山,HEYS,乙,1,Hebei Yishan,7,21,3,14,10,56.136,36,河北一山,6,2000
303,大连足球特区,DLFDC,乙,5,Dalian Football DC,15,12,4,-3,12,48,37,大连青年,3,2000
304,甘肃天马,GSTM,乙,2,Gansu Tianma,13,21,4,8,10,41.364,38,甘肃天马,4,2000
305,山东济宁巨龙,JNDX,乙,1,Jining Dranix,18,14,5,-4,10,38.409,39,山东济宁巨龙,4,2000
306,广州,GZFA.,乙,3,Guangzhou,29,18,8,-11,14,37.7,40,广州,3,2000
307,北京BTV三高,BJBSG,乙,3,SP Being BTV Sangao,17,20,4,3,10,35.455,41,北京BTV三高,3,2000
308,广东青年,GDFA.,乙,1,Guangdong FA Team,8,11,5,3,8,22.75,42,广东青年,2,2000
309,杭州绿园,HZGT2,乙,0,Hangzhou Greentown,25,6,6,-19,8,19.5,43,浙江绿园,2,2000
310,宁夏育才银川,NXYC,乙,2,Ningxia Yucai,27,7,7,-20,10,14.773,44,宁夏银川育才精武,1,2000
311,山西康宝,SXKB,乙,2,Shanxi Kanbao,33,8,7,-25,10,14.773,45,山西康宝,1,2000
312,宁夏圣雪绒,NXSTE,乙,0,Ningxia st-edenw,51,2,10,-49,10,0,46,宁夏圣雪绒,0,2000
313,延边FC,YBFC2,2nd,1,Yanbian FC,12,6,4,-6,6,14.444,47,延边白头山,1,2000
314,俱乐部简称,编码,级别,平,英文名称,失球,进球,负,净胜,场次,合计,排名,队名简称,胜,2001
315,Club Name,C.ID,Div.,D,English Name,-,+,L,+/-,pl.,Pts.,Rank,Team Name,W,2001
316,大连实德,DLSD,亚,9,Dalian Shide,46,101,6,55,42,1012.5,1,大连实德,27,2001
317,山东鲁能泰山,SDLT,亚,7,Shandong Luneng Taishan,52,57,11,5,34,607.5,2,山东鲁能泰山,16,2001
318,深圳FC,SZPA,超,9,Shenzhen FC,24,40,7,16,30,523.75,3,深圳科健平安,14,2001
319,上海申花,SHSHT,超,4,Shanghai Shenhua,30,41,8,11,27,495,4,上海申花托普,15,2001
320,辽宁FC,LNFC,超,3,Liaoning FC,35,41,9,6,27,495,5,辽宁抚顺特钢,15,2001
321,四川全兴,SCQX,超,5,Sichuan Quanxin,32,36,8,4,27,477.5,6,四川商务通,14,2001
322,北京国安,BJGA,超,8,Beijing Guoan,39,38,13,-1,33,450,7,北京国安,12,2001
323,天津泰达,TJTED,超,7,Tianjin TEDA,36,45,11,9,30,438.75,8,天津泰达CEC,12,2001
324,重庆力帆,CQLF,亚,10,Chongqing Lifan,31,34,10,3,29,405,9,重庆力帆,9,2001
325,云南红塔,YNHT,超,7,Yunnan Hongta,35,37,12,2,28,347.5,10,云南红塔,9,2001
326,陕西国力,SNNP,超,9,Shannxi National Power,42,32,10,-10,27,335,11,陕西国力汉斯啤酒,8,2001
327,长春亚泰雄狮,CCYT,甲,6,Changchun Yatai,19,43,5,24,25,315.68,12,长春亚泰雄狮,14,2001
328,上海中远汇丽,SHZY,甲,4,Shanghai Zhongyuan Huili,24,53,5,29,23,279.32,13,上海中远,14,2001
329,青岛颐中海牛,QDET,超,8,Qingdao Etsong Hainiu,46,29,16,-17,30,276.25,14,青岛啤酒,6,2001
330,成都FC,CDFC,甲,7,Chengdu FC,27,49,4,22,23,263.18,15,成都五牛国腾,12,2001
331,江苏舜天,JSST,甲,5,Jiangsu Sainty,21,31,7,10,24,262.05,16,江苏舜天,12,2001
332,八一振邦,PLABY,超,10,Bayi Zhenbang,38,24,12,-14,27,257.5,17,八一振邦,5,2001
333,广州吉利,GZJL,甲,7,Guangzhou Jili,18,32,5,14,23,243.86,18,广州吉利,11,2001
334,湖北武汉红桃K职业,WHRHK,甲,7,Wuhan RHK,33,28,11,-5,27,242.05,19,武汉红金龙,9,2001
335,厦门FC,XMFC,甲,6,Xiamen FC,36,39,7,3,23,220.23,20,厦门红狮,10,2001
336,河南建业,HAJY,甲,5,Henan Construction,33,26,10,-7,24,208.86,21,河南建业,9,2001
337,浙江绿城,ZJGT,甲,10,Zhejiang Greentown,29,33,7,4,23,172.95,22,浙江三花绿城,6,2001
338,大连赛德隆,DLSDL,乙,4,Dalian Sidelong,7,29,1,22,16,122.88,23,大连赛德隆,11,2001
339,绵阳FC,MYFC,甲,4,Mianyang FC,58,16,16,-42,24,114.32,24,四川绵阳太极,4,2001
340,沈阳华晨金客,SYBJK,超,3,Shenyang Brilliance Jinke,72,26,23,-46,28,103.75,25,沈阳金德,2,2001
341,广东宏远,GDHY,甲,5,Guangdong Hongyuan,34,15,16,-19,24,102.5,26,广东宏远,3,2001
342,辽宁青年,LNY.,乙,3,Liaoning Youth,16,17,5,1,15,82.777,27,鞍山银海锅炉,7,2001
343,青岛海利丰,QDHLF,乙,7,Qingdao Hailifeng,9,19,2,10,14,79.601,28,青岛海利丰,5,2001
344,延边FC,YBFC,乙,4,Yanbian FC,8,18,4,10,14,74.965,29,延边白头山,6,2001
345,天津立飞,TJLF,甲,4,Tianjin Lifei,56,15,17,-41,23,66.591,30,天津立飞,2,2001
346,河北石药,HECSP,乙,4,Hebei CSPC,13,11,4,-2,12,57.535,31,河北石药,4,2001
347,北京宽利,BJKL,乙,5,Beijing Kuanli,13,18,2,5,11,56.113,32,北京BOA宽利,4,2001
348,杭州绿园,HZGT2,乙,1,Hangzhou Greentown,12,8,4,-4,9,46.036,33,浙江绿园,4,2001
349,广州青年,GZFA.,乙,0,Guangzhou FA Team,7,10,3,3,6,34.727,34,广州锐克,3,2001
350,甘肃天马,GSTM,乙,3,Gansu Tianma,5,10,0,5,4,34.506,35,兰州黄河,1,2001
351,北京龙力,BJLL,乙,1,Beijing Longli,20,9,9,-11,12,26.036,36,北京龙力,2,2001
352,武汉伯乐,WHBL,乙,2,Wuhan Bole,12,8,4,-4,6,7.6471,37,武汉伯乐,0,2001
353,鞍山,ASFC,乙,1,Anshan FC,10,0,2,-10,3,3.8235,38,鞍山,0,2001
354,西安安馨园,XAAXY,乙,1,Xi'an Anxinyuan,2,1,1,-1,2,3.0952,39,西安安馨园,0,2001
355,宁夏育才银川,NXYC,乙,0,Ningxia Yucai,0,0,0,0,0,0,40,宁夏育才,0,2001
356,济宁九巨龙,JNDX,乙,0,Jining Dranix,6,1,1,-5,1,0,41,济宁九巨龙,0,2001
357,锦州庄毅,JZZY,乙,0,Jinzhou Zhuangyi,9,0,3,-9,3,0,42,锦州庄毅净瓶泉啤酒,0,2001
358,俱乐部简称,编码,级别,平,英文名称,失球,进球,负,净胜,场次,合计,排名,队名简称,胜,2002
359,Club Name,C.ID,Div.,D,English Name,-,+,L,+/-,pl.,Pts.,Rank,Team Name,W,2002
360,大连实德,DLSD,亚,9,Dalian Shide,35,51,8,16,34,657.5,1,大连实德,17,2002
361,辽宁FC,LNFC,超,6,Liaoning FC,52,60,11,8,35,592.5,2,辽宁波导战斗,18,2002
362,深圳FC,SZPA,超,10,Shenzhen FC,24,47,5,23,30,557.5,3,深圳平安保险,15,2002
363,北京国安,BJGA,超,7,Beijing Guoan,30,49,7,19,29,535,4,北京现代汽车,15,2002
364,重庆力帆,CQLF,亚,13,Chongqing Lifan,31,36,8,5,33,525,5,重庆力帆鑫源,12,2002
365,青岛颐中海牛,QDET,超,11,Qingdao Etsong Hainiu,40,40,11,0,34,491.25,6,青岛哈德门,12,2002
366,云南红塔,YNHT,超,10,Yunnan Hongta,34,37,9,3,31,467.5,7,云南红塔,12,2002
367,山东鲁能泰山,SDLT,超,3,Shandong Luneng Taishan,45,44,12,-1,29,465,8,山东鲁能泰山,14,2002
368,上海申花SVA文广,SHSW,亚,6,Shanghai Shenhua SVA WG,49,52,16,3,36,437.5,9,上海申花SVA,14,2002
369,上海中远汇丽,SHZY,超,10,Shanghai Zhongyuan Huili,45,44,11,-1,31,413.75,10,上海中远,10,2002
370,天津泰达,TJTED,超,7,Tianjin TEDA,41,42,13,1,31,407.5,11,天津泰达,11,2002
371,八一振邦,PLABY,超,13,Bayi FC,47,36,11,-11,33,405,12,八一振邦,9,2002
372,沈阳金德,SYGD,超,10,Shenyang Ginde,37,36,11,-1,29,347.5,13,沈阳金德,8,2002
373,厦门FC,XMFC,甲,8,Xiamen FC,15,36,3,21,23,287.5,14,厦门红狮,12,2002
374,四川大河,SCDH,超,7,Sichuan Dahe,57,40,15,-17,29,287.5,15,四川大河开米森,7,2002
375,浙江绿城,ZJGT,甲,5,Zhejiang Greentown,38,39,11,1,27,282.05,16,浙江三花绿城,11,2002
376,青岛海利丰,QDHLF,甲,2,Qingdao Hailifeng,26,27,11,1,25,274.89,17,合肥创亿,12,2002
377,大连赛德隆,DLSDL,甲,4,Dalian Sidelong,23,31,8,8,23,242.95,18,大连赛德隆,11,2002
378,湖北武汉红桃K职业,WHRHK,甲,9,Wuhan RHK,31,32,6,1,23,225,19,武汉东湖高科/国测高科,8,2002
379,成都FC,CDFC,甲,6,Chengdu FC,41,35,10,-6,24,209.32,20,成都太和,8,2002
380,辽宁星光,LNSTA,甲,7,Liaoning Stars,30,23,8,-7,23,205.91,21,葫芦岛宏运,8,2002
381,江苏舜天,JSST,甲,10,Jiangsu Sainty,14,18,6,4,23,204.77,22,江苏舜天,7,2002
382,长春亚泰,CCYT,甲,4,Changchun Yatai,38,30,11,-8,23,185.68,23,长春今来亚泰,8,2002
383,河南建业,HAJY,甲,8,Henan Construction,29,23,9,-6,23,172.95,24,河南洛阳白马,6,2002
384,甘肃天马,GSTM,甲,7,Gansu Tianma,29,20,12,-9,24,158.41,25,甘肃农垦,5,2002
385,广东雄鹰,GDXY,乙,3,Guangdong Xiongying,12,46,1,34,17,148.68,26,广东雄鹰博力能,13,2002
386,广州FC,GZXPH,甲,9,Guangzhou FC,34,25,10,-9,23,141.14,27,广州香雪制药,4,2002
387,陕西国力,SNNP,超,7,Shannxi National Power,56,24,20,-32,29,137.5,28,陕西利君,2,2002
388,哈尔滨兰格,HRBLG,乙,3,Harbin Lange,16,29,3,13,17,127.73,29,哈尔滨兰格,11,2002
389,河北百世开利,HEBSK,乙,2,Hebei Baishi Kaili,19,14,8,-5,19,110.06,30,河北百世开利,9,2002
390,大连三德汽车,DLSDC,乙,4,Dalian Sundy Car,13,28,2,15,14,102.01,31,大连三德汽车,8,2002
391,广州酒家,GZRT,丙,1,Guangzhou Restaurant,4,15,0,11,7,92.5,32,广州酒家,6,2002
392,锦州庄毅,JZZY,乙,4,Jinzhou Zhuangyi,23,26,5,3,16,89.479,33,锦州庄毅,7,2002
393,延边FC,YBFC,乙,5,Yanbian FC,18,27,3,9,14,82.698,34,延边白头山,6,2002
394,北京龙力,BJLL,乙,3,Beijing Longli,14,22,5,8,14,76.087,35,北京龙力,6,2002
395,西安安馨园,XAAXY,乙,5,Xi'an Anxinyuan,18,37,1,19,11,74.642,36,西安安馨园,5,2002
396,广州日之泉亿达,GZSCE,乙,2,Guangzhou Sunray Cave Easter,24,23,6,-1,14,72.494,37,广州日之泉亿达,6,2002
397,济宁九巨龙,JNDX,乙,4,Jining Dranix,19,26,3,7,11,51.202,38,济宁九巨龙,4,2002
398,天津名特,TJMT,乙,5,Tianjin Mingte,19,18,6,-1,14,50.297,39,天津名特,3,2002
399,深圳宝安沙井壆岗,SZBG,丙,2,Shenzhen Bogang,9,7,2,-2,6,49,40,深圳壆岗,2,2002
400,湖南金果实业,HNGF,乙,0,Hunan Golden Fruit,33,11,9,-22,12,37.059,41,衡阳金果实业,3,2002
401,大连英都肥牛,DLYDB,丙,2,Dalian Yindu Beef,3,3,1,0,4,30.5,42,大连英都肥牛,1,2002
402,辽宁虎星,LNSTS,乙,1,Liaoning Tiger Star,21,10,5,-11,8,25.789,43,沈阳虎星,2,2002
403,昆明三叶轮胎,KMSYT,丙,2,Kunming Sanye Tyre,8,9,1,1,4,23,44,昆明三叶轮胎,1,2002
404,重庆公安局前卫,CQQW,丙,1,Chongqi Qianwei,6,4,2,-2,4,22.75,45,重庆公安局前卫,1,2002
405,四川省建筑设计院,SCADI,丙,1,"Sichuan Provincial Architectural
  Design I.",3,5,0,2,2,15,46,四川省建筑设计院,1,2002
406,上海科化,SHCV,丙,1,Shanghai Coerver,3,2,1,-1,2,14.5,47,上海科化2000,0,2002
407,重庆商业银行,CQCB,丙,0,Chongqing Commercial Bank,9,6,1,-3,2,12.5,48,重庆商业银行,1,2002
408,北京华亚飞鹰,BJHY,丙,1,Beijing Huaya Feiying,0,0,0,0,1,10.5,49,北京华亚飞鹰,0,2002
409,青岛海牛足球学校,QDHNF.,丙,0,Qingdao Hainiu FS.,0,1,0,1,1,10,50,青岛海牛足校,1,2002
410,广州产权交易所,GZEMS,丙,0,"Guangzhou Enterprises M&S
  Servies",0,1,0,1,1,10,51,广权所安达,1,2002
411,天津家世界,TJFM,丙,0,Tianjin Family Market,2,3,1,1,2,10,52,天津家世界,1,2002
412,西安天心恒兴,XATH,丙,2,Xi'an Tianxin Hengxing,2,2,0,0,2,10,53,西安天心恒兴,0,2002
413,上海天娜,SHTN,丙,1,Shanghai Tianna,4,3,1,-1,2,9,54,上海天娜,0,2002
414,成都药友科技,CDYYS,丙,1,Chengde Yaoyou S&T,4,3,1,-1,2,8.75,55,成都药友科技,0,2002
415,西安秦川福莱尔,XAQCF,丙,1,Xi'an Qingchuan Flyer,4,2,1,-2,2,8.75,56,西安秦川福莱尔,0,2002
416,昆明华鑫,KMHX,丙,1,Kunming Huaxing,5,4,1,-1,2,7.5,57,昆明华鑫,0,2002
417,天津市体育运动学校,TJSS.,丙,1,Tianjin Sports School,3,3,0,0,1,5,58,天津市体校,0,2002
418,抚顺深抚,LNSF,乙,1,Liaoning Shenfu,3,1,1,-2,2,4.1176,59,抚顺深抚,0,2002
419,北京藏鹰雪泉,BJZYX,乙,1,Beijing Zangying Xuequan,20,5,7,-15,8,3.6842,60,西藏藏鹰雪泉,0,2002
420,武汉唐氏集团,WHTS,丙,0,Wuhan Tang's ,0,0,0,0,0,2.5,61,武汉唐氏集团,0,2002
421,深圳出入境检验检疫局,SZIQB,丙,0,Shenzhen I&Q Bureau,0,0,0,0,0,2.5,62,深圳检验检疫局,0,2002
422,武汉体育学院,WHSU.,丙,0,Wuhan Sports University,2,1,1,-1,1,2.5,63,武汉体院耐英,0,2002
423,厦门电业局,XMEP,丙,0,Xiamen Electric Power,1,0,1,-1,1,2.5,64,厦门电业局,0,2002
424,南京三隆包装,NJSL,丙,0,Nanjing Sanlong Packaging,3,1,1,-2,1,2.5,65,江苏三隆,0,2002
425,武汉雅琪,WHYQ,乙,0,Wuhan Yaqi,21,6,6,-15,6,0,66,武汉雅琪,0,2002
426,盘锦FC,PJFC,乙,0,Panjing FC,21,4,6,-17,6,0,67,辽宁盘锦,0,2002
427,俱乐部简称,编码,级别,平,英文名称,失球,进球,负,净胜,场次,合计,排名,队名简称,胜,2003
428,Club Name,C.ID,Div.,D,English Name,-,+,L,+/-,pl.,Pts.,Rank,Team Name,W,2003
429,大连实德,DLSD,亚,11,Dalian Shide,42,77,8,35,44,898.75,1,大连实德,25,2003
430,上海申花SVA文广,SHSW,亚,4,Shanghai Shenhua SVA WG,42,67,10,25,35,682.5,2,上海申花SVA,21,2003
431,上海中远三林,SHZY,超,6,Shanghai Zhongyuan Salim,34,44,8,10,33,630,3,上海国际,19,2003
432,沈阳金德,SYGD,超,12,Shenyang Ginde,36,47,7,11,34,565,4,沈阳金德,15,2003
433,北京国安,BJGA,超,10,Beijing Guoan,31,54,10,23,35,551.25,5,北京现代汽车,15,2003
434,深圳健力宝,SZJLB,超,13,Shenzhen Jianlibao,24,44,6,20,31,492.5,6,深圳健力宝,12,2003
435,云南红塔,YNHT,超,9,Yunnan Hongta,33,37,11,4,33,482.5,7,云南红塔,13,2003
436,辽宁FC,LNFC,超,9,Liaoning FC,36,49,10,13,32,477.5,8,北京三元/辽宁中顺现代,13,2003
437,山东鲁能泰山,SDLT,超,11,Shandong Luneng Taishan,48,54,11,6,33,435,9,山东鲁能泰山,11,2003
438,天津泰达,TJTED,超,13,Tianjin TEDA,39,41,9,2,32,427.5,10,天津康师傅,10,2003
439,青岛颐中海牛,QDET,超,6,Qingdao Etsong Hainiu,57,48,15,-9,33,422.5,11,青岛贝莱特,12,2003
440,四川冠城,SCGC,超,11,Sichuan Guancheng,47,45,10,-2,31,407.5,12,四川冠城,10,2003
441,重庆力帆,CQLF,超,9,Chongqing Lifan,38,30,15,-8,34,391.25,13,重庆力帆新感觉,10,2003
442,长春亚泰,CCYT,甲,8,Changchun Yatai,21,57,5,36,30,345.38,14,长春今来亚泰,17,2003
443,河南建业,HAJY,甲,7,Henan Construction,32,39,8,7,31,333.46,15,河南河套老窖,16,2003
444,八一FC,PLABY,超,5,Bayi FC,64,32,19,-32,32,287.5,16,八一湘潭,8,2003
445,湖北武汉红桃K职业,WHRHK,甲,12,Wuhan RHK,33,46,6,13,30,284.04,17,武汉国测蓝星,12,2003
446,广州FC,GZXPH,甲,10,Guangzhou FC,26,42,6,16,29,273.46,18,广州香雪制药,13,2003
447,江苏舜天,JSST,甲,6,Jiangsu Sainty,33,43,9,10,29,272.31,19,江苏舜天,14,2003
448,成都FC,CDFC,甲,6,Chengdu FC,34,37,10,3,29,256.15,20,成都五牛,13,2003
449,广东雄鹰,GDXY,甲,7,Guangdong Xiongying,41,34,12,-7,29,210.96,21,广东雄鹰/广东科健,10,2003
450,珠海安平,ZHAP,甲,10,Zhuhai Anping,30,25,11,-5,29,192.69,22,珠海安平格力,8,2003
451,南京有有,NJYY,甲,10,Nanjing Yoyo,35,23,11,-12,29,192.69,23,南京有有,8,2003
452,陕西国力,SNNP,超,6,Shannxi National Power,70,31,22,-39,32,185,24,陕西国力,4,2003
453,甘肃天马,GSTM,甲,9,Gansu Tianma,43,27,13,-16,29,175.38,25,宁波耀马,7,2003
454,厦门FC,XMFC,甲,8,Xiamen FC,32,27,14,-5,29,172.12,26,厦门吉祥石狮,7,2003
455,浙江绿城,ZJGT,甲,10,Zhejiang Greentown,42,39,13,-3,29,160.38,27,浙江三花绿城,6,2003
456,青岛海利丰,QDHLF,甲,9,Qingdao Hailifeng,46,27,14,-19,29,159.23,28,青岛澳柯玛,6,2003
457,西安安馨园,XAAXY,乙,6,Xi'an Anxinyuan,25,40,5,15,22,147.06,29,西安安馨园,11,2003
458,延边FC,YBFC,乙,5,Yanbian FC,18,30,6,12,21,130.4,30,延边白头山,10,2003
459,大连三德汽车,DLSDC,乙,3,Dalian Sundy Car,23,31,7,8,19,113.04,31,大连三德汽车,9,2003
460,济宁九巨龙,JNDX,乙,3,Jining Dranix,18,28,5,10,16,92.014,32,泰安九巨龙,8,2003
461,深圳宝安沙井壆岗,SZBG,丙,4,Shenzhen Bogang,4,31,0,27,9,90.25,33,深圳壆岗,5,2003
462,上海天娜,SHTN,乙,6,Shanghai Tianna,13,19,3,6,15,82.374,34,上海天娜,6,2003
463,北京宏登,BJHD,乙,4,Beijing Hongdeng,12,13,4,1,14,77.883,35,北京宏登,6,2003
464,兰州新星,LZNS,乙,4,Lanzhou New Star,19,22,4,3,14,72.082,36,兰州新星,6,2003
465,苏州金枫,SZJF2,丙,1,Suzhou Jinfeng,13,21,2,8,9,71.5,37,苏州金枫,6,2003
466,哈尔滨兰格,HRBLG,甲,2,Harbin Lange,78,25,24,-53,29,66.731,38,哈尔滨兰格,3,2003
467,广东名峰,GDMF,乙,4,Guangdong Mingfeng,10,15,2,5,11,66.156,39,广东名峰,5,2003
468,辽宁青少年,LNTA,乙,4,Liaoning Teenager,11,15,3,4,11,54.066,40,辽宁葫芦岛,4,2003
469,抚顺深抚,LNSF,乙,6,Liaoning Shenfu,18,14,3,-4,12,52.98,41,抚顺深抚,3,2003
470,广州日之泉亿达,GZSCE,乙,5,Guangzhou Sunray Cave Easter,31,16,8,-15,16,49.886,42,广州日之泉亿达,3,2003
471,上海碧云良千,SHB2K,乙,2,Shanghai Biyun 2000,21,10,8,-11,14,49.657,43,上海碧云良千科化,4,2003
472,湖南体坛周报,HNTC,丙,2,Hunan Titan Sports,2,5,0,3,4,46.5,44,湖南体坛周报,2,2003
473,上海第九城市,SHT9,丙,0,Shanghai The 9 City,7,9,2,2,5,46.5,45,上海九城,3,2003
474,陕西高速集团,SNGS,丙,0,Shannxi Expressway Group,5,14,2,9,6,44,46,陕西高速集团,4,2003
