,age,country,countryZh,loan,marketValue,mfClubId,mfClubName,miClubId,miClubName,playerId,playerMainPosition,playerName,premium,premiumRate,transferDate,transferFee,transferFeeValue,year
47,31,China,中国,,50万,667.0,杜伊斯堡,42.0,北京国安,1077,左中场,邵佳一,-50万,-100,2012-01-01,0,0.0,11
48,23,Brazil,巴西,,40万,,Desp. Brasil,51.0,广州富力,31060,中锋,拉斐尔·科埃略,115万,288,2012-01-01,155万,1550000.0,11
49,26,Benin,贝宁,,35万,45.0,上海上港,937.0,斯莱戈流浪者,18548,右中场,罗穆亚尔德·博科,-35万,-100,2012-01-01,0,0.0,11
50,23,Colombia,哥伦比亚,,30万,50.0,上海绿地申花,,Without Club,3752,右后卫,胡安·安古洛,-30万,-100,2012-01-01,,,11
51,22,China,中国,,5万,,北京国安预备队,42.0,北京国安,1059,右边锋,王皓,-5万,-100,2012-01-01,,,11
52,31,Brazil,巴西,,,51.0,广州富力,,Paysandu,37232,右边锋,Harison,0,-,2012-01-01,0,0.0,11
53,26,China,中国,,,1250.0,深圳FC,52.0,大连一方,6818,右后卫,陈雷,24万,-,2012-01-01,24万,240000.0,11
54,22,China,中国,,,,Without Club,50.0,上海绿地申花,1314,左边锋,王飞,,-,2012-01-01,,,11
55,20,China,中国,,,,广州恒大预备队,41.0,广州恒大,33467,后腰,李智朗,,-,2012-01-01,,,11
56,20,China,中国,,,,重庆力帆预备队,215.0,重庆力帆,6821,中场,王维成,,-,2012-01-01,,,11
57,20,China,中国,,,,重庆力帆预备队,215.0,重庆力帆,6822,右中场,徐小波,,-,2012-01-01,,,11
58,18,China,中国,,,,广州恒大预备队,41.0,广州恒大,1025,左边锋,谭家军,,-,2012-01-01,,,11
59,20,China,中国,,,,Unknown,41.0,广州恒大,1028,门将,董春雨,,-,2012-01-01,,,11
60,22,China,中国,,,,R&amp;F Reserves,43.0,北京人和,1106,影子前锋,张成祥,,-,2012-01-01,,,11
61,22,China,中国,,,,重庆力帆预备队,53.0,江苏苏宁,1421,中后卫,许友志,,-,2012-01-01,,,11
62,28,China,中国,,,41.0,广州恒大,43.0,北京人和,1426,后腰,杨昊,80万,-,2012-01-01,80万,800000.0,11
63,26,China,中国,,,43.0,北京人和,41.0,广州恒大,1034,后腰,赵旭日,110万,-,2012-01-01,110万,1100000.0,11
64,23,China,中国,,,49.0,山东鲁能,53.0,江苏苏宁,1428,前腰,邓卓翔,70万,-,2012-01-01,70万,700000.0,11
65,22,China,中国,,,,Unknown,41.0,广州恒大,44624,左后卫,倪波,,-,2012-01-01,,,11
66,21,China,中国,,,43.0,北京人和,1254.0,新疆雪豹,33476,,李晨光,,-,2012-01-01,,,11
67,20,China,中国,出租,,44.0,长春亚泰,627.0,贵州恒丰,1110,门将,吴亚轲,,-,2012-01-01,,,11
68,20,China,中国,,,49.0,山东鲁能,47.0,辽宁宏运,1225,,赵泓旭,,-,2012-01-01,,,11
69,20,China,中国,,,,Unknown,44.0,长春亚泰,1112,后腰,李光,,-,2012-01-01,,,11
70,32,England,英格兰,,,51.0,广州富力,266.0,诺丁汉森林,36194,中锋,Marlon Harewood,0,-,2012-01-01,0,0.0,11
71,25,China,中国,,,47.0,辽宁宏运,41.0,广州恒大,6658,后腰,秦升,35万,-,2012-01-01,35万,350000.0,11
