,birth,height,name,nameen,nation,place,position,weight
71,1966年12月17日（51岁）,185,罗宾-弗雷泽,Robin Fraser,牙买加,,中后卫,
72,1983年9月24日（34岁）,180,洪阿英（冯亚荣）,Cerezo Fung-A-Wing,苏里南,,中后卫,
73,1988年6月3日（29岁）,180,颜兴龙,Gan Seng Ling,澳大利亚,,中场,
74,1986年2月14日（32岁）,185,郜林,Gao Lin,,,前锋,75
75,1990年5月17日（27岁）,186,耿晓顺,Geng Xiaoshun,,,中后卫，右后卫,75
76,1994年9月18日（23岁）,,吴志豪,"Ryan Go ""Wu Zhi-Hao""",澳大利亚,,边后卫,
77,1974年2月6日（44岁）,180,吴达泉,Goh Tat Chuan,无,,中场,
78,1994年5月30日（23岁）,178,维克托-冈萨雷斯,Víctor Miguel González Chang,无,,后卫,75
79,1989年7月8日（28岁）,189,国威,Guo Wei,,,门将,85
80,1914年月日（岁）,172,郭鸿宾,Guō Hóngbīn,无,,中锋,
81,1985年3月2日（33岁）,180,河大成,Ha Dae-Sung,,,中场,68
82,1983年9月13日（34岁）,185,韩鹏,Han Peng,,,前锋,77
83,1989年7月10日（28岁）,181,韩学庚,Han Xuegeng,,,后卫,74
84,1993年08月20日（24岁）,169,何维伦,Ho Wai Loon,无,,中场,
85,1998年1月13日（20岁）,,侯永永,John Hou Sæter,,,中场,
86,1988年7月15日（29岁）,,胡思杰,Shijie Hu,,,前腰,
87,1978年7月15日（39岁）,173,杰梅因-邱,Jermaine Hue,,,中场,
88,1994年5月4日（23岁）,175,于德,Arthur Irawan,无,,边后卫,
89,1981年2月13日（37岁）,,叶亚有（叶亚友）,Ferdinand Jap A Joe,,,中场，后卫,
90,1994年6月8日（23岁）,182,纪政玉,Ji Zhengyu,,,后卫,76
91,1927年月日（岁）,,金秉奎,Jīn Bǐngkuī,无,,左边锋,
92,1990年1月25日（28岁）,187,晋鹏翔,Jin Pengxiang,,,后卫,77
93,1993年1月15日（25岁）,180,金强,Jin Qiang,,,中场,72
94,1993年2月3日（25岁）,180,金洋洋,Jin Yangyang,,,后卫,70
95,1990年2月27日（28岁）,185,金英权,Kim Young-Gwon,,,后卫,74
96,1926年月日（岁）,,金龙湖,Jīn LóngHú,无,,前锋,
97,1986年7月18日（31岁）,183,杨亚平（容阿平）,Calvin Jong-A-Pin,苏里南（？）,,中后卫,
98,1964年11月9日（53岁）,,"""中国人"" 浩然",China Kao Yien,无,,后卫,
99,1996年7月18日（21岁）,1.80,扎马尔丁-霍加尼亚佐夫（扎马尔丁-霍加尼亚孜）,Dzhamaldin Abdukhalitovich Khodzhaniyazov,土库曼斯坦,,中后卫,
100,1952年10月25日（65岁）,,许锡龙,Khor Sek Leng,,,中场,
101,1900年11月2日（117岁）,,豪尔赫-古曹,Jorge Koochoi Sarmiento,中华民国（？）,,边锋,
102,1951年3月27日（67岁）,,古廉权,Koo Luam Khen,,,,
103,1920年月日（岁）,,郭丰新,Kwee Hong Sing,中华民国（？）,,,
104,1993年2月22日（25岁）,181,麦克-邝,Michael Kwong,无,,边锋,
105,年月日（岁）,,里维斯-黎山（暂译）,Lewis Lai San,,,中场,
106,年月日（岁）,,黎文（暂译）,Mun Lai,,,中场,
107,1961年12月6日（56岁）,,黎景豪,Richard Lai King Ho,关岛,,,
108,1980年4月8日（38岁）,1.67,黎文华（暂译）,Lai Ban Huat,,,后卫,
109,1991年6月4日（26岁）,175,林志坚,Andreas Lam Zhi Gin,无,,边前卫,
110,1994年10月9日（23岁）,160,黎丽莎,Cindy Lay,无,,中场,
111,1954年2月7日（64岁）,,黎发芳,Francisco Lay,,,,
112,1995年12月1日（22岁）,,李思勤,Illyas Lee,无,,后卫,
113,1990年1月15日（28岁）,178,李伟成,Alexander Francis Vei Chen Lee,美国,,后卫,
114,1990年1月15日（28岁）,,李伟宏,Justin David Lee Wei Hung,美国,,后卫,
115,1996年5月1日（21岁）,,李伟华,Natanel Prescott Lee Wei Wah,美国,,后卫,
116,1963年3月20日（55岁）,171,奥斯卡-李祥,Oscar Lee-Chong,无,,中场,
117,1997年10月21日（20岁）,177,Wang-Xi Lee-Chong,Felipe Lee-Chong,无,,中场,
118,1975年2月3日（43岁）,176,梁宏成,Leong Hong Seng,,,后卫,
119,1992年2月9日（26岁）,180,刘汉雄,Herny Lew,无,,后卫、中场,75
120,1922年月日（岁）,,李逢春,Lǐ Féngchūn,无,,右前卫,
121,1985年4月10日（33岁）,173,李凤奎,Raimana Li Fung Kuee,法国,,前锋,
122,1995年11月21日（22岁）,181,李生晨,Li Shengchen,,,门将,68
123,1988年9月18日（29岁）,185,李学鹏,Li Xuepeng,,,后卫,78
124,1993年1月24日（25岁）,186,李智宇,Li Zhiyu,,,后卫,74
125,1905年10月16日（112岁）,180,李惠堂,,,,前锋,74.8
126,1995年2月16日（23岁）,174,胡安.李,Juan Li,无,,边后卫,72
127,1993年4月29日（24岁）,180,廖力生,Liao Lisheng,,,中场,70
128,1944年5月20日（73岁）,,林瑞良,Liem Soei Liang( Surya Lesmana ),中华民国（？）,,中场,
129,1916年10月16日（101岁）,,林顺有,Liem Soen Joe（Liem Sun Yu）,中华民国（？）,,边后卫,
130,1979年1月6日（39岁）,,廖吉光,Liew Kit Kong,无,,前锋,
131,1960年4月15日（57岁）,,林安远,An-Yan Lim Kee Chong,,,裁判,
132,1978年10月14日（39岁）,178,林灿友,Lim Chan Yew,无,,后卫,
133,1997年2月5日（21岁）,175,林佺凯,Damien Lim,无,,门将,
134,1967年8月30日（50岁）,,林俊,Harvey Lim, （？）,,门将,
135,1950年2月22日（68岁）,,林芳基,Lim Fung Kee,无,,门将,
136,1963年8月26日（54岁）,,林长金,Lim Teong Kim,无,,中场,
137,1951年1月5日（67岁）,1.79,林天日,Lim Tien Jit,,,后卫,55
138,1982年10月06日（35岁）,182,林毅,Eug Yi Lin,无,,后卫,80
139,1956年1月6日（62岁）,185,林球立,Tscheu La Ling（或Tschen La Ling）,,,边锋,
140,  蚌埠市,74,Liu Shuai,刘帅,180,,MA47287,中后卫，右后卫，后腰，右翼卫
141,1992年5月3日（25岁）,191,刘伟国,Liu Weiguo,,,门将,74
142,1993年1月15日（25岁）,180,刘映辰,Liu Yingchen,,,后卫,76
143,1997年2月2日（21岁）,180,刘义鹏,Liu Yipeng,,,门将,65
144,1932年月日（岁）,,刘国斌,Liú Guóbīn,无,,门将,
145,1934年10月30日（83岁）,176,刘荫培,Liú YīnPéi,无,,前卫、前锋,
146,1991年11月11日（26岁）,179,罗福生,Jermano Lo Fo Sang,苏里南,,边后卫,
147,1991年4月9日（27岁）,1.72,陆宇廷（暂译）,Darren Lok,英格兰,,前锋,
148,1943年8月8日（74岁）,,马里亚诺-罗,Mariano Loo,无,,前锋,
149,1908年7月15日（109岁）,,胡里奥·洛里斯·科兰,Julio Lores Colán,墨西哥,,前锋,
150,1983年11月25日（34岁）,178,刘大卫,David Low,南非,,后卫/边前卫（左/右）/后腰,73
151,1954年08月30日（63岁）,178,刘小恨,Sheu Han,莫桑比克,,中场,
152,1992年7月19日（25岁）,1.76,林恩许,Jared Lum,,,边前卫,72
153,1993年1月16日（25岁）,188,罗森文,Luo Senwen,,,前卫,80
154,1989年10月28日（28岁）,180,吕鹏,Lü Peng,,,中场,75
155,1925年月日（岁）,178,马韶华,Mǎ Sháohuá,N/A,,门将,
156,1968年11月11日（49岁）,178,梅国鸿,Moey Kok Hong,无,,全能,
157,1985年1月24日（33岁）,168,梅示敦,Lexton de la Cruz Moy,美国,,边后卫,
158,1992年1月4日（26岁）,,亚历山大-恩杜姆布,Alexander N'doubmou,,,前腰,
159,1993年10月6日（24岁）,177,南云齐,Nan Yunqi,,,前锋,74
160,年月日（岁）,,哈罗德-吴福（暂译）,Harold Ng Fok,,,前锋,
161,1992年5月27日（25岁）,180,黄永武,Stanely Ng Yong Woo,无,,前锋,
162,1996年6月24日（21岁）,180,黄添喜,Perry Ng,无,,中卫,75
163,1999年月日（岁）,,冯龙健,"Ryuken Nishizawa Fung ""Fung Long-Chien""",,,前锋、中场,
164,1994年11月21日（23岁）,175,卢克·奥尼恩,Luke O'Nien,新加坡,,中场,
165,1991年1月25日（27岁）,181,王昱民,Emmeric Ong,无,,后卫,
166,1970年12月11日（47岁）,,王金瑞,Ong Kim Swee,,,中场（退役）,
167,1923年7月13日（94岁）,,王良德,Chris Ong,中华民国（？）,,后卫,
168,1973年12月31日（44岁）,,黄河源,Ooi Hoe Guan,无,,中场,
169,1991年8月8日（26岁）,,黄世强,Ooi Shee Keong,,,后卫,
170,年月{{{出生日}}}日（岁）,,路易斯-鲍,Luis Felipe Pau Leon,,,边锋,
